"","Sesso","Anziano/a","Partner","Persone a carico","Durata del rapporto","Servizio telefonico","Linee multiple","Servizio Internet","Sicurezza online","Backup online","Protezione device","Assistenza tecnica","StreamingTV","StreamingMovies","Termine del contratto","Fatturazione elettronica","Metodo di pagamento","Addebito mensile","Addebito totale","Churn"
"22","Uomo","No","Si","No",12,"Si","No","No","No","No","No","No","No","No","un anno","No","bonifico bancario (automatico)",19.8,202.25,"No"
"23","Uomo","No","No","No",1,"Si","No","No","No","No","No","No","No","No","mese per mese","No","assegno per posta",20.15,20.15,"Si"
"24","Donna","No","Si","No",58,"Si","Si","DSL","No","Si","No","Si","No","No","due anni","Si","carta di credito (automatico)",59.9,3505.1,"No"
"25","Uomo","No","Si","Si",49,"Si","No","DSL","Si","Si","No","Si","No","No","mese per mese","No","carta di credito (automatico)",59.6,2970.3,"No"
"26","Donna","No","No","No",30,"Si","No","DSL","Si","Si","No","No","No","No","mese per mese","Si","bonifico bancario (automatico)",55.3,1530.6,"No"
"27","Uomo","No","Si","Si",47,"Si","Si","fibra ottica","No","Si","No","No","Si","Si","mese per mese","Si","assegno elettronico",99.35,4749.15,"Si"
"28","Uomo","No","Si","Si",1,"No","No","DSL","No","Si","No","No","No","No","mese per mese","No","assegno elettronico",30.2,30.2,"Si"
"29","Uomo","No","Si","No",72,"Si","Si","DSL","Si","Si","Si","Si","Si","Si","due anni","Si","carta di credito (automatico)",90.25,6369.45,"No"
"30","Donna","No","No","Si",17,"Si","No","DSL","No","No","No","No","Si","Si","mese per mese","Si","assegno per posta",64.7,1093.1,"Si"
"31","Donna","Si","Si","No",71,"Si","Si","fibra ottica","Si","Si","Si","Si","No","No","due anni","Si","carta di credito (automatico)",96.35,6766.95,"No"
"32","Uomo","Si","Si","No",2,"Si","No","fibra ottica","No","No","Si","No","Si","Si","mese per mese","Si","carta di credito (automatico)",95.5,181.65,"No"
"33","Donna","No","Si","Si",27,"Si","No","DSL","Si","Si","Si","Si","No","No","un anno","No","assegno per posta",66.15,1874.45,"No"
"34","Uomo","No","No","No",1,"Si","No","No","No","No","No","No","No","No","mese per mese","No","bonifico bancario (automatico)",20.2,20.2,"No"
"35","Uomo","Si","No","No",1,"Si","No","DSL","No","No","No","No","No","No","mese per mese","No","bonifico bancario (automatico)",45.25,45.25,"No"
"36","Donna","No","Si","Si",72,"Si","Si","fibra ottica","Si","Si","No","Si","Si","No","due anni","No","bonifico bancario (automatico)",99.9,7251.7,"No"
"37","Uomo","No","No","No",5,"Si","No","fibra ottica","No","No","No","No","No","No","mese per mese","Si","assegno elettronico",69.7,316.9,"Si"
"38","Donna","No","No","No",46,"Si","No","fibra ottica","No","No","Si","No","No","No","mese per mese","Si","carta di credito (automatico)",74.8,3548.3,"No"
"39","Uomo","No","No","No",34,"Si","Si","fibra ottica","No","Si","Si","No","Si","Si","mese per mese","Si","assegno elettronico",106.35,3549.25,"Si"
"40","Donna","No","No","No",11,"Si","Si","fibra ottica","No","No","Si","No","Si","Si","mese per mese","Si","bonifico bancario (automatico)",97.85,1105.4,"Si"
"41","Uomo","No","Si","Si",10,"Si","No","DSL","No","Si","No","No","No","No","un anno","No","assegno per posta",49.55,475.7,"No"
"42","Donna","No","Si","Si",70,"Si","Si","DSL","Si","Si","No","No","Si","No","due anni","Si","carta di credito (automatico)",69.2,4872.35,"No"
"43","Donna","No","Si","Si",17,"Si","No","No","No","No","No","No","No","No","un anno","No","assegno per posta",20.75,418.25,"No"
"44","Donna","No","No","No",63,"Si","Si","DSL","Si","Si","Si","Si","Si","No","due anni","Si","carta di credito (automatico)",79.85,4861.45,"No"
"45","Donna","No","Si","No",13,"Si","Si","DSL","Si","Si","No","Si","Si","No","mese per mese","Si","assegno elettronico",76.2,981.45,"No"
"46","Donna","No","No","No",49,"Si","Si","fibra ottica","No","No","No","No","No","Si","mese per mese","Si","assegno elettronico",84.5,3906.7,"No"
"47","Uomo","No","No","No",2,"Si","No","DSL","No","Si","No","No","No","No","mese per mese","No","assegno per posta",49.25,97,"No"
"48","Donna","No","No","No",2,"Si","No","fibra ottica","No","No","No","No","Si","No","mese per mese","Si","assegno elettronico",80.65,144.15,"Si"
"49","Uomo","No","No","No",52,"Si","Si","DSL","Si","No","No","Si","Si","Si","due anni","Si","carta di credito (automatico)",79.75,4217.8,"No"
"50","Donna","No","Si","Si",69,"Si","Si","DSL","Si","No","Si","Si","No","No","due anni","Si","carta di credito (automatico)",64.15,4254.1,"No"
"51","Donna","Si","No","No",43,"Si","Si","fibra ottica","No","Si","No","No","Si","No","mese per mese","Si","assegno elettronico",90.25,3838.75,"No"
"52","Donna","No","No","No",15,"Si","No","fibra ottica","Si","Si","No","No","Si","Si","mese per mese","Si","carta di credito (automatico)",99.1,1426.4,"Si"
"53","Donna","Si","Si","No",25,"Si","Si","DSL","Si","No","No","Si","Si","No","mese per mese","Si","carta di credito (automatico)",69.5,1752.65,"No"
"54","Donna","Si","Si","No",8,"Si","Si","fibra ottica","No","Si","No","No","No","No","mese per mese","Si","carta di credito (automatico)",80.65,633.3,"Si"
"55","Donna","Si","Si","Si",60,"Si","No","DSL","Si","Si","Si","Si","No","Si","un anno","Si","carta di credito (automatico)",74.85,4456.35,"No"
"56","Uomo","Si","No","No",18,"Si","Si","fibra ottica","No","No","No","No","Si","Si","mese per mese","Si","assegno elettronico",95.45,1752.55,"Si"
"57","Donna","No","Si","Si",63,"Si","Si","fibra ottica","Si","No","No","No","Si","Si","un anno","Si","carta di credito (automatico)",99.65,6311.2,"No"
"58","Uomo","Si","Si","Si",66,"Si","Si","fibra ottica","No","Si","Si","Si","Si","Si","un anno","Si","assegno elettronico",108.45,7076.35,"No"
"59","Donna","No","Si","Si",34,"Si","Si","No","No","No","No","No","No","No","due anni","No","carta di credito (automatico)",24.95,894.3,"No"
"60","Donna","No","No","No",72,"Si","Si","fibra ottica","No","No","Si","Si","Si","Si","due anni","Si","carta di credito (automatico)",107.5,7853.7,"No"
"61","Donna","No","Si","No",47,"Si","Si","fibra ottica","No","No","Si","No","Si","Si","mese per mese","Si","assegno elettronico",100.5,4707.1,"No"
"62","Uomo","No","No","No",60,"Si","Si","fibra ottica","No","Si","No","No","Si","No","mese per mese","Si","bonifico bancario (automatico)",89.9,5450.7,"No"
"63","Uomo","No","Si","No",72,"No","No","DSL","Si","Si","Si","No","No","No","due anni","No","bonifico bancario (automatico)",42.1,2962,"No"
"64","Donna","No","Si","Si",18,"Si","No","DSL","No","No","Si","Si","No","No","un anno","Si","carta di credito (automatico)",54.4,957.1,"No"
"65","Donna","No","No","No",9,"Si","Si","fibra ottica","No","No","No","No","Si","Si","mese per mese","No","assegno elettronico",94.4,857.25,"Si"
"66","Donna","No","No","No",3,"Si","No","DSL","No","Si","No","Si","Si","Si","mese per mese","Si","assegno elettronico",75.3,244.1,"No"
"67","Uomo","No","Si","No",47,"Si","Si","fibra ottica","No","Si","No","No","No","No","un anno","Si","assegno elettronico",78.9,3650.35,"No"
"68","Donna","No","No","No",31,"Si","No","DSL","No","Si","Si","Si","Si","Si","due anni","No","assegno per posta",79.2,2497.2,"No"
"69","Donna","No","Si","Si",50,"Si","No","No","No","No","No","No","No","No","due anni","No","bonifico bancario (automatico)",20.15,930.9,"No"
"70","Uomo","No","No","No",10,"Si","No","fibra ottica","Si","No","Si","No","No","No","mese per mese","Si","assegno per posta",79.85,887.35,"No"
"71","Uomo","No","No","No",1,"Si","No","DSL","No","No","No","Si","No","No","mese per mese","No","assegno per posta",49.05,49.05,"No"
"72","Donna","No","Si","Si",52,"Si","No","No","No","No","No","No","No","No","un anno","Si","assegno elettronico",20.4,1090.65,"No"
"73","Uomo","Si","Si","Si",64,"Si","Si","fibra ottica","Si","No","Si","Si","Si","Si","due anni","Si","bonifico bancario (automatico)",111.6,7099,"No"
"74","Uomo","No","Si","Si",62,"Si","Si","No","No","No","No","No","No","No","due anni","Si","bonifico bancario (automatico)",24.25,1424.6,"No"
"75","Donna","No","No","Si",3,"Si","No","DSL","Si","No","No","Si","No","Si","mese per mese","Si","bonifico bancario (automatico)",64.5,177.4,"No"
"76","Donna","Si","No","No",56,"Si","Si","fibra ottica","Si","Si","Si","No","Si","Si","un anno","No","assegno elettronico",110.5,6139.5,"No"
"77","Donna","No","No","No",46,"Si","No","DSL","No","No","No","No","No","Si","un anno","No","carta di credito (automatico)",55.65,2688.85,"No"
"78","Donna","No","Si","Si",8,"Si","No","DSL","Si","Si","No","No","No","No","mese per mese","No","assegno per posta",54.65,482.25,"No"
"79","Uomo","Si","No","No",30,"Si","No","DSL","Si","Si","No","No","Si","Si","mese per mese","Si","assegno elettronico",74.75,2111.3,"No"
"80","Donna","No","Si","Si",45,"Si","Si","No","No","No","No","No","No","No","un anno","Si","carta di credito (automatico)",25.9,1216.6,"No"
"81","Donna","No","No","Si",1,"Si","No","fibra ottica","No","No","No","No","Si","No","mese per mese","Si","assegno elettronico",79.35,79.35,"Si"
"82","Donna","No","Si","Si",11,"No","No","DSL","Si","No","No","No","Si","Si","mese per mese","No","assegno elettronico",50.55,565.35,"No"
"83","Donna","No","Si","No",7,"Si","No","fibra ottica","No","No","Si","No","No","No","mese per mese","Si","bonifico bancario (automatico)",75.15,496.9,"Si"
"84","Donna","No","No","No",42,"Si","No","fibra ottica","No","Si","Si","Si","Si","Si","mese per mese","Si","bonifico bancario (automatico)",103.8,4327.5,"No"
"85","Donna","No","Si","No",49,"Si","No","No","No","No","No","No","No","No","due anni","Si","bonifico bancario (automatico)",20.15,973.35,"No"
"86","Uomo","No","No","No",9,"Si","Si","fibra ottica","No","Si","No","No","Si","Si","mese per mese","Si","carta di credito (automatico)",99.3,918.75,"No"
"87","Donna","No","Si","No",35,"Si","No","DSL","Si","No","No","No","Si","No","un anno","Si","bonifico bancario (automatico)",62.15,2215.45,"No"
"88","Donna","No","Si","Si",48,"Si","No","No","No","No","No","No","No","No","due anni","No","bonifico bancario (automatico)",20.65,1057,"No"
"89","Donna","No","Si","Si",46,"Si","No","No","No","No","No","No","No","No","due anni","Si","assegno per posta",19.95,927.1,"No"
"90","Uomo","No","Si","No",29,"No","No","DSL","No","No","No","No","Si","No","mese per mese","No","assegno per posta",33.75,1009.25,"No"
"91","Uomo","No","Si","Si",30,"Si","No","fibra ottica","No","Si","Si","No","No","No","mese per mese","No","bonifico bancario (automatico)",82.05,2570.2,"No"
"92","Uomo","Si","No","No",1,"Si","No","fibra ottica","No","No","No","Si","No","No","mese per mese","No","assegno elettronico",74.7,74.7,"No"
"93","Uomo","No","Si","Si",66,"Si","Si","DSL","Si","No","Si","Si","Si","Si","due anni","Si","assegno per posta",84,5714.25,"No"
"94","Donna","No","No","No",65,"Si","Si","fibra ottica","Si","Si","Si","No","Si","Si","mese per mese","Si","carta di credito (automatico)",111.05,7107,"No"
"95","Uomo","No","No","No",72,"Si","Si","fibra ottica","No","Si","Si","No","Si","Si","due anni","Si","bonifico bancario (automatico)",100.9,7459.05,"No"
"96","Donna","No","No","No",12,"Si","Si","fibra ottica","Si","No","No","No","No","No","mese per mese","Si","assegno elettronico",78.95,927.35,"Si"
"97","Uomo","No","Si","Si",71,"Si","Si","DSL","Si","Si","No","Si","No","No","un anno","Si","carta di credito (automatico)",66.85,4748.7,"No"
"98","Uomo","No","No","No",5,"Si","No","No","No","No","No","No","No","No","mese per mese","No","assegno per posta",21.05,113.85,"Si"
"99","Uomo","No","No","No",52,"Si","No","No","No","No","No","No","No","No","due anni","No","bonifico bancario (automatico)",21,1107.2,"No"
"100","Donna","Si","Si","No",25,"Si","No","fibra ottica","No","Si","Si","No","Si","Si","mese per mese","Si","assegno elettronico",98.5,2514.5,"Si"
"101","Uomo","No","No","No",1,"Si","No","No","No","No","No","No","No","No","mese per mese","No","assegno per posta",20.2,20.2,"No"
"102","Donna","No","Si","Si",1,"Si","No","No","No","No","No","No","No","No","mese per mese","No","assegno elettronico",19.45,19.45,"No"
"103","Uomo","No","No","No",38,"Si","Si","fibra ottica","No","No","Si","Si","Si","No","un anno","No","bonifico bancario (automatico)",95,3605.6,"No"
"104","Donna","Si","Si","No",66,"No","No","DSL","No","Si","Si","No","Si","No","un anno","No","bonifico bancario (automatico)",45.55,3027.25,"No"
"105","Uomo","No","Si","No",68,"Si","Si","fibra ottica","No","Si","Si","Si","Si","Si","due anni","Si","bonifico bancario (automatico)",110,7611.85,"Si"
"106","Uomo","No","No","No",5,"No","No","DSL","No","No","No","No","No","No","mese per mese","No","assegno per posta",24.3,100.2,"No"
"107","Donna","No","Si","Si",72,"Si","Si","fibra ottica","Si","Si","No","No","Si","Si","un anno","Si","assegno elettronico",104.15,7303.05,"No"
"108","Donna","No","No","No",32,"No","No","DSL","Si","No","No","No","No","No","un anno","No","assegno per posta",30.15,927.65,"No"
"109","Uomo","No","No","No",43,"Si","Si","fibra ottica","No","No","No","No","Si","Si","un anno","No","assegno per posta",94.35,3921.3,"No"
"110","Uomo","No","Si","Si",72,"Si","No","No","No","No","No","No","No","No","due anni","No","carta di credito (automatico)",19.4,1363.25,"No"
"111","Uomo","No","Si","No",55,"Si","Si","fibra ottica","Si","Si","No","No","Si","No","mese per mese","Si","assegno elettronico",96.75,5238.9,"Si"
"112","Donna","No","No","No",52,"Si","No","DSL","Si","No","Si","Si","No","No","un anno","No","carta di credito (automatico)",57.95,3042.25,"No"
"113","Donna","No","No","No",43,"Si","No","fibra ottica","No","Si","Si","No","Si","No","mese per mese","Si","assegno elettronico",91.65,3954.1,"No"
"114","Donna","Si","Si","No",37,"Si","Si","fibra ottica","No","No","No","No","No","No","mese per mese","Si","assegno elettronico",76.5,2868.15,"Si"
"115","Donna","No","Si","Si",64,"No","No","DSL","No","Si","No","Si","Si","Si","due anni","Si","assegno elettronico",54.6,3423.5,"No"
"116","Uomo","No","Si","Si",3,"Si","No","fibra ottica","Si","Si","No","No","Si","No","mese per mese","No","assegno elettronico",89.85,248.4,"No"
"117","Donna","No","No","No",36,"No","No","DSL","Si","No","No","No","No","No","due anni","No","bonifico bancario (automatico)",31.05,1126.35,"No"
"118","Donna","No","Si","Si",10,"Si","Si","fibra ottica","Si","No","No","No","Si","Si","mese per mese","Si","assegno elettronico",100.25,1064.65,"Si"
"119","Donna","No","No","No",41,"Si","No","No","No","No","No","No","No","No","due anni","No","assegno per posta",20.65,835.15,"No"
"120","Uomo","No","Si","Si",27,"Si","Si","fibra ottica","No","Si","No","Si","No","No","mese per mese","Si","carta di credito (automatico)",85.2,2151.6,"No"
"121","Donna","No","Si","Si",56,"Si","Si","fibra ottica","No","No","Si","No","Si","Si","un anno","Si","carta di credito (automatico)",99.8,5515.45,"No"
"122","Donna","No","No","No",6,"Si","No","No","No","No","No","No","No","No","mese per mese","No","assegno per posta",20.7,112.75,"No"
"123","Uomo","No","No","No",3,"Si","Si","fibra ottica","No","No","No","No","No","No","mese per mese","Si","assegno elettronico",74.4,229.55,"Si"
"124","Donna","No","Si","Si",7,"Si","No","DSL","Si","No","No","No","No","No","mese per mese","No","assegno per posta",50.7,350.35,"No"
"125","Donna","No","Si","Si",4,"Si","No","No","No","No","No","No","No","No","mese per mese","No","assegno per posta",20.85,62.9,"No"
"126","Uomo","No","No","No",33,"Si","No","fibra ottica","Si","No","No","Si","Si","No","due anni","Si","assegno elettronico",88.95,3027.65,"No"
"127","Donna","Si","No","No",27,"Si","Si","fibra ottica","No","No","Si","No","No","No","mese per mese","Si","assegno elettronico",78.05,2135.5,"Si"
"128","Uomo","No","Si","No",72,"Si","Si","No","No","No","No","No","No","No","due anni","Si","bonifico bancario (automatico)",23.55,1723.95,"No"
"129","Uomo","No","No","No",1,"Si","No","No","No","No","No","No","No","No","mese per mese","No","assegno per posta",19.75,19.75,"No"
"130","Uomo","Si","No","No",71,"No","No","DSL","Si","Si","No","No","Si","Si","un anno","Si","assegno elettronico",56.45,3985.35,"No"
"131","Donna","No","No","No",13,"Si","Si","fibra ottica","No","No","No","No","No","Si","mese per mese","Si","assegno elettronico",85.95,1215.65,"No"
"132","Donna","No","Si","Si",25,"No","No","DSL","Si","Si","Si","No","Si","Si","mese per mese","Si","carta di credito (automatico)",58.6,1502.65,"Si"
"133","Uomo","No","No","No",67,"Si","No","DSL","No","No","No","Si","No","No","due anni","No","bonifico bancario (automatico)",50.55,3260.1,"No"
"134","Uomo","No","No","No",1,"No","No","DSL","No","No","No","No","No","Si","mese per mese","Si","assegno elettronico",35.45,35.45,"Si"
"135","Uomo","No","No","No",2,"Si","No","DSL","No","No","No","No","No","No","mese per mese","No","assegno elettronico",44.35,81.25,"Si"
"136","Donna","No","No","No",43,"Si","Si","No","No","No","No","No","No","No","due anni","Si","carta di credito (automatico)",25.7,1188.2,"No"
"137","Donna","No","No","No",23,"Si","No","fibra ottica","Si","No","No","No","No","No","mese per mese","Si","bonifico bancario (automatico)",75,1778.5,"No"
"138","Donna","No","Si","Si",64,"Si","No","No","No","No","No","No","No","No","due anni","No","assegno per posta",20.2,1277.75,"No"
"139","Uomo","No","No","Si",57,"Si","No","No","No","No","No","No","No","No","due anni","Si","assegno per posta",19.6,1170.55,"No"
"140","Donna","Si","Si","No",1,"Si","No","fibra ottica","No","No","No","No","No","No","mese per mese","Si","assegno per posta",70.45,70.45,"Si"
"141","Donna","Si","Si","Si",72,"Si","Si","DSL","Si","Si","Si","Si","Si","Si","due anni","Si","carta di credito (automatico)",88.05,6425.65,"No"
"142","Donna","No","No","No",8,"Si","Si","DSL","Si","No","No","Si","No","Si","mese per mese","No","assegno elettronico",71.15,563.65,"Si"
"143","Donna","No","Si","No",61,"Si","Si","fibra ottica","No","Si","No","No","Si","Si","due anni","Si","bonifico bancario (automatico)",101.05,5971.25,"No"
"144","Uomo","No","No","No",64,"Si","Si","fibra ottica","Si","Si","No","No","No","No","un anno","Si","carta di credito (automatico)",84.3,5289.05,"No"
"145","Uomo","Si","Si","No",71,"Si","Si","No","No","No","No","No","No","No","due anni","No","bonifico bancario (automatico)",23.95,1756.2,"No"
"146","Donna","No","Si","Si",65,"Si","Si","fibra ottica","Si","Si","No","Si","Si","No","due anni","Si","carta di credito (automatico)",99.05,6416.7,"No"
"147","Uomo","No","No","No",3,"Si","No","No","No","No","No","No","No","No","un anno","No","assegno per posta",19.6,61.35,"No"
"148","Uomo","No","No","No",1,"Si","No","DSL","No","No","No","No","No","No","mese per mese","Si","assegno elettronico",45.65,45.65,"Si"
"149","Uomo","No","No","Si",30,"Si","No","DSL","No","Si","Si","No","Si","No","un anno","No","carta di credito (automatico)",64.5,1929.95,"No"
"150","Uomo","No","Si","Si",15,"Si","No","DSL","No","Si","Si","Si","No","Si","mese per mese","Si","assegno per posta",69.5,1071.4,"No"
"151","Donna","No","Si","Si",8,"Si","No","DSL","No","No","No","Si","Si","Si","mese per mese","Si","assegno elettronico",68.55,564.35,"No"
"152","Uomo","No","No","No",7,"Si","Si","fibra ottica","No","No","No","No","Si","Si","mese per mese","No","assegno per posta",95,655.5,"Si"
"153","Donna","No","Si","Si",70,"Si","Si","fibra ottica","Si","Si","Si","No","Si","Si","un anno","Si","carta di credito (automatico)",108.15,7930.55,"No"
"154","Uomo","No","Si","Si",62,"Si","No","DSL","Si","Si","Si","Si","Si","Si","due anni","No","assegno elettronico",86.1,5215.25,"No"
"155","Donna","No","Si","Si",6,"Si","No","No","No","No","No","No","No","No","mese per mese","No","assegno per posta",19.7,113.5,"No"
"156","Donna","No","Si","Si",14,"Si","No","fibra ottica","No","No","No","No","No","Si","mese per mese","Si","bonifico bancario (automatico)",80.9,1152.8,"No"
"157","Donna","No","No","No",22,"Si","Si","fibra ottica","No","No","No","No","Si","No","mese per mese","Si","bonifico bancario (automatico)",84.15,1821.95,"No"
"158","Uomo","No","Si","Si",22,"Si","No","No","No","No","No","No","No","No","un anno","No","assegno per posta",20.15,419.9,"No"
"159","Uomo","No","Si","Si",16,"Si","No","DSL","Si","No","Si","No","Si","No","due anni","No","assegno per posta",64.25,1024,"No"
"160","Uomo","No","No","No",10,"Si","Si","No","No","No","No","No","No","No","due anni","No","bonifico bancario (automatico)",25.7,251.6,"No"
"161","Donna","No","No","Si",13,"Si","No","DSL","Si","Si","No","No","No","No","mese per mese","Si","assegno elettronico",56,764.55,"No"
"162","Donna","No","Si","No",20,"Si","Si","fibra ottica","Si","No","No","No","No","No","mese per mese","No","assegno elettronico",82.4,1592.35,"Si"
"163","Donna","No","No","No",2,"Si","No","fibra ottica","No","No","No","No","No","No","mese per mese","Si","assegno elettronico",69.7,135.2,"No"
"164","Uomo","No","No","No",53,"Si","Si","DSL","No","Si","Si","Si","No","Si","due anni","Si","bonifico bancario (automatico)",73.9,3958.25,"No"
"165","Donna","No","Si","Si",11,"Si","No","No","No","No","No","No","No","No","un anno","No","assegno per posta",20.6,233.9,"No"
"166","Uomo","No","Si","No",69,"Si","No","No","No","No","No","No","No","No","due anni","No","assegno per posta",19.9,1363.45,"No"
"167","Donna","No","No","No",4,"Si","No","fibra ottica","No","No","No","No","No","No","mese per mese","Si","bonifico bancario (automatico)",70.9,273,"Si"
"168","Uomo","No","Si","No",72,"Si","Si","DSL","Si","Si","Si","Si","Si","Si","due anni","Si","bonifico bancario (automatico)",89.05,6254.45,"No"
"169","Uomo","Si","Si","No",58,"No","No","DSL","No","Si","Si","No","No","Si","mese per mese","Si","assegno elettronico",45.3,2651.2,"Si"
"170","Donna","No","Si","Si",16,"Si","No","No","No","No","No","No","No","No","mese per mese","No","assegno elettronico",20.4,321.4,"No"
"171","Uomo","No","Si","No",43,"Si","No","fibra ottica","Si","No","Si","Si","No","No","un anno","Si","bonifico bancario (automatico)",84.25,3539.25,"No"
"172","Donna","No","Si","No",2,"Si","Si","fibra ottica","No","No","Si","Si","Si","Si","mese per mese","Si","assegno elettronico",104.4,242.8,"Si"
"173","Uomo","No","Si","No",14,"Si","No","DSL","No","Si","Si","Si","Si","Si","due anni","No","assegno per posta",81.95,1181.75,"No"
"174","Donna","No","Si","No",53,"Si","No","fibra ottica","No","No","Si","No","Si","Si","un anno","Si","bonifico bancario (automatico)",94.85,5000.2,"Si"
"175","Donna","No","No","No",32,"Si","No","No","No","No","No","No","No","No","un anno","No","bonifico bancario (automatico)",20.55,654.55,"No"
"176","Donna","No","Si","No",34,"Si","Si","No","No","No","No","No","No","No","mese per mese","No","assegno elettronico",24.7,780.2,"No"
"177","Donna","Si","No","No",15,"Si","Si","fibra ottica","No","No","No","No","No","No","mese per mese","Si","assegno per posta",74.45,1145.7,"Si"
"178","Donna","Si","No","No",7,"Si","No","fibra ottica","Si","No","No","No","No","No","mese per mese","No","bonifico bancario (automatico)",76.45,503.6,"Si"
"179","Donna","No","Si","Si",15,"Si","Si","fibra ottica","No","Si","Si","No","Si","Si","mese per mese","Si","bonifico bancario (automatico)",105.35,1559.25,"No"
"180","Uomo","No","Si","No",61,"Si","No","No","No","No","No","No","No","No","un anno","Si","carta di credito (automatico)",20.55,1252,"No"
"181","Donna","No","No","No",1,"No","No","DSL","No","Si","No","No","No","No","mese per mese","No","bonifico bancario (automatico)",29.95,29.95,"Si"
"182","Donna","No","No","No",1,"Si","No","DSL","No","No","No","No","No","No","mese per mese","No","assegno per posta",45.3,45.3,"No"
"183","Uomo","No","No","No",8,"Si","Si","fibra ottica","No","No","No","No","No","Si","mese per mese","No","bonifico bancario (automatico)",84.5,662.65,"Si"
"184","Uomo","No","Si","Si",33,"Si","No","DSL","Si","No","Si","No","Si","Si","un anno","No","carta di credito (automatico)",74.75,2453.3,"No"
"185","Donna","No","No","No",13,"Si","No","fibra ottica","No","Si","Si","No","No","No","mese per mese","Si","assegno elettronico",79.25,1111.65,"Si"
"186","Donna","No","Si","No",1,"No","No","DSL","No","No","No","No","No","No","mese per mese","Si","assegno elettronico",24.8,24.8,"Si"
"187","Uomo","No","No","No",20,"Si","No","DSL","No","Si","No","No","No","No","mese per mese","Si","assegno per posta",51.8,1023.85,"No"
"188","Uomo","No","No","No",3,"No","No","DSL","No","No","No","Si","No","No","mese per mese","No","assegno elettronico",30.4,82.15,"No"
"189","Donna","No","No","No",13,"Si","No","No","No","No","No","No","No","No","un anno","No","assegno elettronico",19.65,244.8,"No"
"190","Donna","No","Si","No",40,"Si","Si","DSL","No","Si","No","No","No","No","mese per mese","No","carta di credito (automatico)",56.6,2379.1,"No"
"191","Uomo","No","Si","Si",43,"Si","Si","DSL","Si","No","No","Si","No","Si","un anno","Si","carta di credito (automatico)",71.9,3173.35,"No"
